"","(Intercept)","hemoglobin","albumin","monocytes","eos","hemoglobin:albumin"
"(Intercept)",0.209481873676088,-0.195713349265899,-0.175629788483082,-0.0530441513486574,-0.0241628978337632,0.2154890679574
"hemoglobin",-0.195713349265899,0.317376143837338,0.192922111251877,0.00426956714751583,-0.00879035608831882,-0.296227348098004
"albumin",-0.175629788483082,0.192922111251877,0.942842795961197,0.00373881195604283,0.00286755474335375,-0.91254808525585
"monocytes",-0.0530441513486574,0.0042695671475158,0.00373881195604278,0.164056639542086,-0.0450741432381409,-0.0452844102929059
"eos",-0.0241628978337631,-0.00879035608831889,0.00286755474335372,-0.045074143238141,0.185533515581036,-0.0328628704161353
"hemoglobin:albumin",0.2154890679574,-0.296227348098004,-0.91254808525585,-0.0452844102929063,-0.0328628704161351,1.12866147805095
