"","(Intercept)","hemoglobin","albumin","monocytes","hemoglobin:monocytes"
"(Intercept)",0.325135270217252,-0.33591340386852,0.00990780137567064,-0.335594508011847,0.33943727923882
"hemoglobin",-0.33591340386852,0.470309559993778,-0.0296231917570349,0.351693189877379,-0.462253887607793
"albumin",0.00990780137567077,-0.0296231917570349,0.14772849192391,-0.0418928274301596,-0.0181762871573533
"monocytes",-0.335594508011848,0.35169318987738,-0.0418928274301593,0.504388695942972,-0.485413526218968
"hemoglobin:monocytes",0.339437279238821,-0.462253887607794,-0.0181762871573535,-0.485413526218967,0.670922918988025
