"","(Intercept)","monocytes","eos","hemoglobin","albumin","monocytes:eos","monocytes:albumin"
"(Intercept)",0.340113510896609,-0.124586493135638,-0.206624236712364,-0.213398943047384,-0.0732853805147369,0.18239112131668,0.0870600027568095
"monocytes",-0.124586493135637,0.287938841814779,0.101345601363274,-0.0295948757916183,0.128982005296785,-0.162731832173659,-0.2405207012048
"eos",-0.206624236712363,0.101345601363274,0.352571038162066,0.0953728546758408,-0.0202044730713217,-0.317435501573096,0.0225019893651334
"hemoglobin",-0.213398943047385,-0.029594875791617,0.0953728546758412,0.25459810297947,-0.0349049665685451,-0.0786209507374728,0.0282048575785859
"albumin",-0.0732853805147354,0.128982005296784,-0.0202044730713223,-0.0349049665685457,0.36688632464332,0.00563978872586598,-0.387649855730984
"monocytes:eos",0.182391121316679,-0.162731832173659,-0.317435501573096,-0.0786209507374721,0.005639788725866,0.431458062081366,-0.0133297364901981
"monocytes:albumin",0.0870600027568077,-0.240520701204799,0.0225019893651343,0.0282048575785871,-0.387649855730984,-0.0133297364901983,0.577395624047187
