"","(Intercept)","monocytes","eos","hemoglobin","albumin","eos:albumin"
"(Intercept)",0.0116454362906916,-0.0036614330197206,-0.00592342369988081,-0.00664407932960689,-0.00239415525360802,0.00721803728539588
"monocytes",-0.00366143301972059,0.0223028213342712,-0.00429798769780453,-0.00309790840906568,-0.00613261961711022,0.0010395351079533
"eos",-0.00592342369988082,-0.00429798769780453,0.0482887379365953,-0.000523308824650535,0.00808184453461657,-0.048461714926378
"hemoglobin",-0.00664407932960689,-0.00309790840906567,-0.000523308824650545,0.0208330552881179,-0.00666445145365734,-0.00176786172366104
"albumin",-0.00239415525360803,-0.00613261961711022,0.00808184453461658,-0.00666445145365733,0.0347114441280815,-0.0289474164002452
"eos:albumin",0.00721803728539589,0.00103953510795329,-0.048461714926378,-0.00176786172366105,-0.0289474164002452,0.141794190222653
