"","(Intercept)","monocytes","eos","hemoglobin","albumin","eos:albumin"
"(Intercept)",0.0111343275552777,-0.00386675760887944,-0.00560399710717168,-0.00640984243222231,-0.00180330848543504,0.00639086386398912
"monocytes",-0.00386675760887944,0.0220861494927255,-0.0044748421422052,-0.00285836727288092,-0.00550377053812371,0.00129352915546241
"eos",-0.00560399710717168,-0.00447484214220521,0.0483570770017913,0.00011438565027381,0.00691468701481886,-0.0466579918982161
"hemoglobin",-0.00640984243222231,-0.00285836727288092,0.000114385650273802,0.0204044443830084,-0.0066387120982773,-0.00247615060712598
"albumin",-0.00180330848543504,-0.00550377053812371,0.00691468701481884,-0.0066387120982773,0.0336203129760434,-0.0282321115563554
"eos:albumin",0.00639086386398911,0.00129352915546242,-0.0466579918982161,-0.00247615060712598,-0.0282321115563555,0.139270494573556
